exp_name,model,training_mode,pretrained,transfer_strategy,label_smoothing,kd_temperature,kd_alpha,optimizer,lr_scheduler,learning_rate,weight_decay,epochs,best_val_acc,test_acc
hw2_augmix_resnet,resnet,standard,True,resize,0.0,3.0,0.7,adam,step,0.0001,0.0001,10,0.9620,0.9580
hw2_kd_augmix_t3,mobilenet,distillation,False,none,0.0,3.0,0.7,adam,step,0.001,0.0001,10,0.8374,0.8362
